constant_name,definition
" Client has developed an oportunistic infection","Cliente ha desarrollado enf oportunista"
" Do you really want to delete","Seguro que quiere borrar"
" Drug",Medicamento
" History",Historial
" LLL:",LLL:
" Lot",Lote
" Medicaid Original Reference No. ","Nº de Referencia original de Medicaid"
" Patient History / Lifestyle","Historia / Estilo de Vida de la/el Cliente"
" Pecularities in many browsers may mean that the output below enters your screen in sudden jerks and that there are long pauses of several seconds where it  appears as though things may have crashed. That is not the case, you will eventually see output co","Peculiaridades en varios exploradores pueden causar que la información abajo aparece bruscamente, y ocurren pausas extensas que aparentan que el sistema se ha dañado. Este no es el caso, y eventualmente verá información desplegada línea por línea. Podrían aparecer números secuenciales para indicar que aunque no aparezca nada más, el sistema tiene actividad. Estos números serán entremezclados con el contenido de la facturación, y es normal."
" Up to:",Hasta
" but was ","pero ha sido"
" could not be accessed.","no se ha podido acceder."
" emails not sent","correos no mandados"
" from",de
" has been created. ","ha sido creado"
" has been re-opened.","ha sido abierto de nuevo."
" is not a number","no es un número"
" is ready for re-billing.","listo para refacturar"
" min",min
" not found!","no encontrado!"
" prescription has reached its limit of","la receta ha alcanzado el límite de"
" until ",hasta
" update failed, not in database?","¿falló la actualización, no está en la base de datos?"
" was marked as billed only.","marcado como solo facturado."
" was queued successfully.","puesto en cola."
"! Left w/o visit","! Se fue sin visita"
""" for code ",""" para código "
""" is CHECKED in PostCalendar Settings!",""" está marcado en el seting the PostCalendar"
"# Ins/fin issue","# Problema Ins/fin"
"# of tablets:","No. de tabletas"
$,$
"$ Coding done","$ Codificación hecha"
"$label (yyyy-mm-dd): ","$etiqueta (yyyy-mm-dd)"
%,%
"% Canceled < 24h","% Canceló en <24h"
"% Cancelled <  24h ","% Cancelado < 24 hrs"
"% matches any string, _ matches any character","% reemplaza cualquier cadena, _ reemplaza cualquier caracter"
"' should exist but does not.","debería, pero no existe"
"(% matches any string, _ matches any character)","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)"
"(Add New Group)","Agregar nuevo grupo"
"(Add Transaction)","Agregar Transacción"
(Back),"(Volver) "
"(Click to edit)","(Haga clic para editar) "
(Default),(Predeterminado)
(Delete),Borrar
(Edit),Modificar
"(Email delivery is immediate, while automated VOIP is sent to the service provider for further processing.)","(el email tiene entrega inmediata, mientras que el mensaje de VOIP es enviado al proveedor del servicio para su proceso futuro)"
"(Fill here only if sending email notification to patients)","(Llene aquí solamente si envía notificación por email a clientes)"
(More),Más
"(New Patient)","Nuevo cliente"
"(Notes and Authorizations)","Notas y Autorizaciones"
"(Patient Notes)","Notas del Paciente"
"(Print Blank Referral Form)","Imprimir Forma de Referencia"
"(Remove Group)","Remover grupo"
"(Select one of these, or type your own title)","(Seleccione una de estas, o escriba su propio título) "
"(Shift-)Click or drag to change value","(Shift-) Selecciona o arrastrar para cambiar valor"
"(To Clinical View) ","Vista datos clínicos"
"([ctrl] + click to select multiple recipients)","([ctrl] + click para seleccionar múltiples destinatarios)"
(admin),(admin)
"(if entered, select only those who have had this service)","(solo mostrará clientes que tuvieron este servicio)"
"(only if billing location): ","(solamente si emite facturas)"
"* Reminder done","* Recordatorio realizado"
"** Please move surgeries to Issues!","** Por Favor mover cirugías a incidencias"
*Required,"* Requerido"
"+ Chart pulled","+ Expediente localizado"
"- None","- Ninguno"
"-- All Facilities --","-- Todas las clínicas --"
"-- Please Select --","-- Seleccione --"
"-- or select from inventory --","-- o seleccionar del inventario --"
.,.
0,0
0-10,0-10
0-24,0-24
1,1
"1 = North America. See http://www.wtng.info/ for a list of other country codes.","1=Norteamerica. Ver http://www.wtng.info/ para lista de códigos de otros países."
"1 Day From Now","1 dia a partir de ahora"
"1 First Visit to Clinic","1 Admisión"
"1 Month From Now","1 mes a partir de ahora"
"1 Week From Now","1 semana a partir de ahora"
"1 Year From Now","1 año a partir de ahora"
"1.Rest 2. Ice for two days 3. Compression, leave the dressing in place unless the foot develops numbness or pale color 4. Elevate the foot and leg","1. Descanso 2. Hielo por dos días 3. Compresión, dejar el vendaje en su lugar a menos que el pie presente hormigueo o color pálido 4. Elevar la pierna y el pie"
11-14,11-14
"12 hr","12 hr"
15-19,15-19
2,2
"2 Days From Now","2 dias a partir de ahora"
"2 Months From Now","2 meses a partir de ahora"
"2 Re-Visit / Re-Supply","2 Seguimiento"
"2 Weeks From Now","2 semanas a partir de ahora"
"2 Years From Now","2 años a partir de ahora"
20-24,20-24
2111-13,2111-13
"24 hr","24 hr"
25+,25+
25-29,25-29
2nd,2da
"3 Administrative only","3 Administrativa"
"3 Days From Now","3 dias a partir de ahora"
"3 Months From Now","3 meses a partir de ahora"
"3 Weeks From Now","3 semanas a partir de ahora"
"3 months","3 meses"
"3 times daily","3 veces al día"
30-34,30-34
35-39,35-39
3rd,3era
"4 Days From Now","4 dias a partir de ahora"
"4 Months From Now","4 meses a partir de ahora"
"4 Supply/Re-Supply","4 Sólo productos"
"4 Weeks From Now","4 semanas a partir de ahora"
"4 months","4 meses"
"4 times daily","4 veces al día"
40-44,40-44
45+,45+
"465.9, URI","465,9, URI"
"466.0, Bronchitis, Acute NOS","466.0, Bronquitis, Aguda"
"486.0, Pneumonia, Acute","486.0, Neumonía, Aguda"
"491.21, COPD Exacerbation","491.21 Agravación de Enfermedad Pulmonar Obstructiva Crónica"
