constant_name,definition
" Do you really want to delete","Seguro que quiere borrar"
" Drug",Medicamento
" History",Historial
" LLL:",LLL:
" Lot",Lote
" Medicaid Original Reference No. ","Nº de Referencia original de Medicaid"
" Pecularities in many browsers may mean that the output below enters your screen in sudden jerks and that there are long pauses of several seconds where it  appears as though things may have crashed. That is not the case, you will eventually see output co","Peculiaridades en varios exploradores pueden causar que la información abajo aparece bruscamente, y ocurren pausas extensas que aparentan que el sistema se ha dañado. Este no es el caso, y eventualmente verá información desplegada línea por línea. Podrían aparecer números secuenciales para indicar que aunque no aparezca nada más, el sistema tiene actividad. Estos números serán entremezclados con el contenido de la facturación, y es normal."
" but was ","pero ha sido"
" could not be accessed.","no se ha podido acceder."
" emails not sent","correos no mandados"
" from",de
" has been created. ","ha sido creado"
" has been re-opened.","ha sido abierto de nuevo."
" is not a number","no es un número"
" is ready for re-billing.","listo para refacturar"
" min",min
" not found!","no encontrado!"
" prescription has reached its limit of","la receta ha alcanzado el límite de"
" until ",hasta
" update failed, not in database?","¿falló la actualización, no está en la base de datos?"
" was marked as billed only.","marcado como solo facturado."
" was queued successfully.","puesto en cola."
"! Left w/o visit","! se retiró sin consulta"
""" for code ",""" para código "
""" is CHECKED in PostCalendar Settings!",""" está marcado en el seting the PostCalendar"
"# Ins/fin issue","# asunto de seguro o financiero"
"# of tablets:","# número de tabletas:"
$,$
"$ Coding done","$ Codificado"
"$label (yyyy-mm-dd): ","$etiqueta (yyyy-mm-dd)"
%,%
"% Canceled < 24h","% Cancelado <24 hrs"
"% Cancelled <  24h ","% Cancelado < 24 hrs"
"' should exist but does not.","debería, pero no existe"
"(% matches any string, _ matches any character)","(% Coincide con cualquier cadena, _ Coincide con cualquier carácter) "
(Back),"(Volver) "
"(Click to edit)","(Haga clic para editar) "
"(Email delivery is immediate, while automated VOIP is sent to the service provider for further processing.)","(el email tiene entrega inmediata, mientras que el mensaje de VOIP es enviado al proveedor del servicio para su proceso futuro)"
(More),(Mas)
"(New Patient)","(Paciente Nuevo)"
"(Notes and Authorizations)","(Notas y Autorizaciones)"
"(Patient Notes)","Notas del Paciente"
"(Select one of these, or type your own title)","(Seleccione una de estas, o escriba su propio título) "
"(Shift-)Click or drag to change value","(Shift-) Selecciona o arrastrar para cambiar valor"
"([ctrl] + click to select multiple recipients)","([ctrl] + click para seleccionar múltiples destinatarios)"
"* Reminder done","* Recordatorio hecho"
"** Please move surgeries to Issues!","** Por Favor mover cirugías a incidencias"
*Required,"* Requerido"
"+ Chart pulled","Historia Clínica retirada"
"- None",-Ninguno
.,.
0,0
0-10,0-10
0-24,0-24
1,1
"1 = North America. See http://www.wtng.info/ for a list of other country codes.","1=Norteamerica. Ver http://www.wtng.info/ para lista de códigos de otros países."
"1 Day From Now","1 dia a partir de ahora"
"1 Month From Now","1 mes a partir de ahora"
"1 Week From Now","1 semana a partir de ahora"
"1 Year From Now","1 año a partir de ahora"
