constant_name,definition,source,openemr,test,spanish,argentina,panama,haiti
" but was ","pero ha sido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Client has developed an oportunistic infection","Cliente ha desarrollado enf oportunista",test,NULL,"Cliente ha desarrollado enf oportunista",NULL,NULL,NULL,NULL
" could not be accessed.","no se ha podido acceder.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Do you really want to delete","Seguro que quiere borrar",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Drug",Medicamento,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" emails not sent","correos no mandados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" from",de,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" has been created. ","ha sido creado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" has been re-opened.","ha sido abierto de nuevo.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" History",Historial,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" is not a number","no es un número",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" is ready for re-billing.","listo para refacturar",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" LLL:",LLL:,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Lot",Lote,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Medicaid Original Reference No. ","Nº de Referencia original de Medicaid",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" min",min,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" not found!","no encontrado!",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Patient History / Lifestyle","Historia / Estilo de Vida de la/el Cliente",test,NULL,"Historia / Estilo de Vida de la/el Cliente",NULL,NULL,NULL,NULL
" Pecularities in many browsers may mean that the output below enters your screen in sudden jerks and that there are long pauses of several seconds where it  appears as though things may have crashed. That is not the case, you will eventually see output co","Peculiaridades en varios exploradores pueden causar que la información abajo aparece bruscamente, y ocurren pausas extensas que aparentan que el sistema se ha dañado. Este no es el caso, y eventualmente verá información desplegada línea por línea. Podrían aparecer números secuenciales para indicar que aunque no aparezca nada más, el sistema tiene actividad. Estos números serán entremezclados con el contenido de la facturación, y es normal.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" prescription has reached its limit of","la receta ha alcanzado el límite de",openemr,NULL,NULL,NULL,NULL,NULL,NULL
" until ",hasta,openemr,NULL,NULL,NULL,NULL,NULL,NULL
" Up to:",Hasta,test,NULL,Hasta,NULL,NULL,NULL,NULL
" update failed, not in database?","¿falló la actualización, no está en la base de datos?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
