constant_name,definition
" Up to:",Hasta
"# of tablets:","No. de tabletas"
"(Add New Group)","Agregar nuevo grupo"
"(Add Transaction)","Agregar Transacción"
(Delete),Borrar
(Edit),Modificar
(More),Mas
"(New Patient)","Nuevo cliente"
"(Notes and Authorizations)","Notas y Autorizaciones"
"(Print Blank Referral Form)","Imprimir Forma de Referencia"
"(Remove Group)","Remover grupo"
"(To Clinical View) ","Vista datos clínicos"
"Abnormal Blood Test:","Ex de sangre anormal"
"Abnormal Mammogram","Mamog anormal"
"Abnormal Menstrual Periods","Períodos menst anormal"
Abortion,Aborto
"Abortion Basic History","Historia clínica de Abortos"
Abortion:,Aborto:
"Absence of Menstruation","Ausencia del período menstrual"
"Access Control:","Privilegios/Accesos al sistema"
Aches,Dolores
ACL,"Seguridad del sistema"
"Act Date",Fecha
Active,Activa
"Active Encounter","Visita activa"
"Active Patient","Cliente activo"
"Active Patient:","Client activo:"
Activity,"Saldos de Inventario"
Add,Agregar
"Add a Pharmacy","Agregar Farmacia"
"Add Copay","Agregar co-pago"
"Add Drug","Agregar productos"
"Add Encounter","Agregar visita"
"Add Field","Agregar campo"
"Add Group","Agregar grupo"
"Add Issue","Agregar evento"
"Add Language or Add Constant or Edit definitions:","Agregar idioma /constante /Editar definiciones:"
"Add new client record","Agregar Nuevo registro de cliente"
"Add New Note","Agregar nueva nota"
"Add Patient Record","Agregar nuevo reg cliente"
"Add Prescription","Agregar receta médica"
"Add to Medication List","Agregar a lista de medic"
"Add Top Level","Agregar al inicio"
"Additional Diagnosis:","Diagnósticos adicionales:"
"Additional History","Historia Adicional"
"Additional Info:","Información Adicional:"
"Additional Notes:","Notas adicionales:"
"Addr Book","Agenda Proveedores"
Address,Dirección
Address:,Dirección:
Adj,Ajuste
Adjustments,Ajustes
"Administered By","Administrado por"
Administration,Administracion
Admission,Admisión
"Age at First Abortion","Edad al primer aborto"
"Age at First Pregnancy","Edad al primer embarazo"
"Age By:","Edad por:"
"Age From:","Edades desde:"
"Age of Menarche","Edad a la menarquia"
"Aging Columns:",Antiguedad
Alcohol,Alcohol
