,constant_name,definition,IPPF_Spanish (proposed),Same as Def?,Notes,source,openemr,test,spanish,argentina,panama,haiti,,0,TEST,KEVIN or ANA
2, but was ,pero ha sido,pero ha sido,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,,0,0,0
3, Client has developed an oportunistic infection,Cliente ha desarrollado enf oportunista,Cliente ha desarrollado enf oportunista,1,,test,NULL,Cliente ha desarrollado enf oportunista,NULL,NULL,NULL,NULL,1,0,1,0
4, could not be accessed.,no se ha podido acceder.,no se ha podido acceder.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
5, Do you really want to delete,Seguro que quiere borrar,¿Seguro que quiere borrar?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
6, Drug,Medicamento,Medicamento,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
7, emails not sent,correos no mandados,correos no enviados,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
8, from,de,de,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
9, has been created. ,ha sido creado,ha sido creado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
10, has been re-opened.,ha sido abierto de nuevo.,ha sido abierto de nuevo.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
11, History,Historial,Historial,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
12, is not a number,no es un número,no es un número,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
13, is ready for re-billing.,listo para refacturar,listo para refacturar,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
14, LLL:,LLL:,LLL:,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
15, Lot,Lote,Lote,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
16, Medicaid Original Reference No. ,Nº de Referencia original de Medicaid,Nº de Referencia original de Medicaid,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
