constant_name,definition
" Client has developed an oportunistic infection","Cliente ha desarrollado enf oportunista"
" Patient History / Lifestyle","Historia / Estilo de Vida de la/el Cliente"
" Up to:",Hasta
"! Left w/o visit","! Se fue sin visita"
"# Ins/fin issue","# Problema Ins/fin"
"# of tablets:","No. de tabletas"
"$ Coding done","$ Codificación hecha"
"% Canceled < 24h","% Canceló en <24h"
"% matches any string, _ matches any character","% reemplaza cualquier cadena, _ reemplaza cualquier caracter"
"(% matches any string, _ matches any character)","(% reemplaza cualquier cadena, _ reemplaza cualquier caracter)"
"(Add New Group)","Agregar nuevo grupo"
"(Add Transaction)","Agregar Transacción"
(admin),(admin)
(Default),(Predeterminado)
(Delete),Borrar
(Edit),Modificar
"(Fill here only if sending email notification to patients)","(Llene aquí solamente si envía notificación por email a clientes)"
"(if entered, select only those who have had this service)","(solo mostrará clientes que tuvieron este servicio)"
(More),Más
"(New Patient)","Nuevo cliente"
"(Notes and Authorizations)","Notas y Autorizaciones"
"(only if billing location): ","(solamente si emite facturas)"
"(Print Blank Referral Form)","Imprimir Forma de Referencia"
"(Remove Group)","Remover grupo"
"(To Clinical View) ","Vista datos clínicos"
"* Reminder done","* Recordatorio realizado"
"+ Chart pulled","+ Expediente localizado"
"- None","- Ninguno"
"-- All Facilities --","-- Todas las clínicas --"
"-- or select from inventory --","-- o seleccionar del inventario --"
"-- Please Select --","-- Seleccione --"
"1 First Visit to Clinic","1 Admisión"
"2 Re-Visit / Re-Supply","2 Seguimiento"
"3 Administrative only","3 Administrativa"
"4 Supply/Re-Supply","4 Sólo productos"
"< In exam room	","< En consulta"
"> Checked out","> Ya pagó"
"? No show","? No se presentó"
"@ Arrived","@ Llegó"
a.c.,a.c.
a.m.,a.m.
"A/F Level Right:","Nivel de A/F Correcto"
Abcess:,Abceso
Abn,Anrml
ABN1,ANRML1
"Abnormal - Ectopic Pregnancy","Anormal - Embarazo ectópico"
"Abnormal - Molar Pregnancy","Anormal - Embarazo molar"
"Abnormal Blood Test:","Ex de sangre anormal"
"Abnormal Hair Growth:","Crecimiento anormal del cabello"
"Abnormal Mammogram","Mamog anormal"
"Abnormal Menstrual Periods","Períodos menst anormal"
"ABO and Rh blood groups","Abo y grupos sanguíneos Rh"
Abortion,Aborto
"Abortion Basic History","Historia clínica de Abortos"
"Abortion Tests","Pruebas de aborto"
Abortion:,Aborto:
"Absence of Menstruation","Ausencia de menstruación"
Abuse,Abuso
"Accept Payment for","Aceptar pago de"
"Acceptors New to Modern Contraception","Aceptantes nuevos de anticoncepción moderna"
"Accepts Assignment","Acepta Facturar"
"Access Control:","Privilegios/Accesos al sistema"
"Access Groups","Perfil de usuario"
"Accounting Transactions","Transacciones Contables"
"Accounting Transactions Export","Exportación transacciones contables"
"Acct Export","Exportar transacciones contables"
Aches,Dolores
ACL,"Seguridad del sistema"
Acne:,Acné
"Act Date",Fetcha
Active,Activa
"Active Encounter","Visita activa"
"Active Patient","Cliente activo"
"Active Patient:","Client activo:"
"Active Viral Hepatitis","Hepatitis viral activa"
Activity,"Saldos de Inventario"
"Acute bronchitis or pneumonia","Bronquitis o neumonía aguda"
Add,Agregar
"Add a Pharmacy","Agregar Farmacia"
"Add as New","Agreagar como nuevo"
"Add Constant","Agregar constante"
"Add Copay","Agregar pago"
"Add Drug","Agregar productos"
"Add Encounter","Agregar visita"
"Add Field","Agregar campo"
"Add Group","Agregar grupo"
"Add Issue","Agregar condición"
"Add Language","Agregar idioma"
"Add Language or Add Constant or Edit definitions:","Agregar idioma /constante /Editar definiciones:"
"Add Multiple","Agregar múltiples recetas"
"Add new client record","Agregar nuevo registro de cliente"
"Add New Group","Agregar grupo nuevo"
"Add New Note","Agregar nueva nota"
"Add Patient Record","Agregar nuevo reg cliente"
"Add payment","Agregar pago"
"Add Prescription","Agregar receta médica"
"Add Row","Añadir fila"
"Add to Medication List","Agregar a lista de medic"
"Add Top Level","Agregar al inicio"
"Add Transaction","Agregar transacción"
"Additional Diagnosis:","Diagnósticos adicionales:"
"Additional History","Historia Adicional"
"Additional Info:","Información Adicional:"
"Additional Notes:","Notas adicionales:"
"Addr Book","Agenda Proveedores"
Address,Dirección
"Address Book Types","Tipos de Directorio"
Address:,Dirección:
Adj,Ajuste
"Adj Type","Tipo de Ajuste"
Adjustment,Ajuste
